layers,dropout,learning_rate,batch_size,test_accuracy
512-256-128,0.3,0.0005,32,0.9930669069290161
256-128-64,0.2,0.0005,16,0.9926590323448181
256-128-64,0.2,0.0005,32,0.9926590323448181
256-128-64,0.3,0.0005,32,0.9922512173652649
128-64,0.2,0.001,32,0.9914355874061584
128-64,0.2,0.001,16,0.9910277128219604
128-64,0.2,0.0005,32,0.9910277128219604
128-64,0.3,0.0005,32,0.9910277128219604
128-64,0.5,0.0005,16,0.990212082862854
512-256-128,0.5,0.0005,16,0.9898042678833008
128-64,0.2,0.0005,16,0.9893963932991028
128-64,0.3,0.001,16,0.9893963932991028
512-256-128,0.2,0.0005,16,0.9885807633399963
256-128-64,0.3,0.0005,16,0.9877650737762451
256-128-64,0.2,0.001,16,0.9877650737762451
512-256-128,0.5,0.0005,32,0.9873572587966919
256-128-64,0.3,0.001,32,0.9869494438171387
256-128-64,0.5,0.0005,32,0.9869494438171387
128-64,0.5,0.0005,32,0.9861337542533875
512-256-128,0.3,0.001,16,0.9857259392738342
512-256-128,0.3,0.0005,16,0.985318124294281
128-64,0.3,0.0005,16,0.984910249710083
128-64,0.3,0.001,32,0.9840946197509766
512-256-128,0.5,0.001,32,0.9836868047714233
128-64,0.5,0.001,16,0.9836868047714233
128-64,0.5,0.001,32,0.9832789301872253
256-128-64,0.5,0.001,16,0.9828711152076721
512-256-128,0.2,0.001,32,0.9820554852485657
256-128-64,0.3,0.001,16,0.9792006611824036
512-256-128,0.2,0.001,16,0.9783849716186523
256-128-64,0.5,0.001,32,0.9783849716186523
256-128-64,0.5,0.0005,16,0.9779771566390991
512-256-128,0.3,0.001,32,0.9775693416595459
512-256-128,0.2,0.0005,32,0.9763458371162415
512-256-128,0.5,0.001,16,0.975530207157135
256-128-64,0.2,0.001,32,0.9747145175933838
